error_scale,derivative_scale,output_scale,overshoot,settling_time,steady_state_error,recovery_time,maximum_voltage,meets_requirements,score
1.5,0.03,10.0,0.0,2.36,0.025710480824787253,1.33,10.0,False,5.516048082478726
1.5,0.15,12.0,0.0,2.42,0.028775688157743624,1.19,12.0,False,5.730902149107695
3.5,0.1,6.0,0.0,2.37,0.03180956855854464,0.98,6.0,False,5.765956855854464
2.0,0.05,8.0,0.0,2.41,0.029484768570567636,1.2599999999999998,8.0,False,5.848476857056763
2.5,0.2,8.0,0.0,2.43,0.0313291931691044,1.0899999999999999,8.0,False,5.8762526502437735
3.0,0.03,6.0,0.0,2.41,0.033399824430546905,1.1,6.0,False,6.071649109721358
1.5,0.05,10.0,0.0,2.46,0.030632433664925834,1.3499999999999996,10.0,False,6.09491003315925
4.0,0.2,6.0,0.0,2.41,0.03616978281880135,0.9099999999999997,6.0,False,6.158644948546801
3.0,0.05,6.0,0.0,2.46,0.03755195433808814,1.12,6.0,False,6.540195433808814
3.5,0.15,6.0,0.0,2.48,0.040386488225762365,1.0099999999999998,6.0,False,6.72698215590957
1.5,0.03,6.0,0.0,inf,0.14558897867834208,inf,6.0,False,inf
1.5,0.03,8.0,0.0,inf,0.06529781925113126,1.75,8.0,False,inf
1.5,0.05,6.0,0.0,inf,0.15233438926191104,inf,6.0,False,inf
1.5,0.05,8.0,0.0,inf,0.07174986396006176,1.79,8.0,False,inf
1.5,0.08,6.0,0.0,inf,0.16166154612645112,inf,6.0,False,inf
1.5,0.08,8.0,0.0,inf,0.08091196791404859,1.8499999999999996,8.0,False,inf
1.5,0.08,10.0,0.0,inf,0.03794336773130096,1.3899999999999997,10.0,False,inf
1.5,0.1,6.0,0.0,inf,0.16741921957907757,inf,6.0,False,inf
1.5,0.1,8.0,0.0,inf,0.08672445766886548,1.8899999999999997,8.0,False,inf
1.5,0.1,10.0,0.0,inf,0.042753246795545034,1.4100000000000001,10.0,False,inf
1.5,0.15,6.0,0.0,inf,0.18053657597184664,inf,6.0,False,inf
1.5,0.15,8.0,0.0,inf,0.10033074957295901,2.0,8.0,False,inf
1.5,0.15,10.0,0.0,inf,0.054539367099017355,1.4799999999999995,10.0,False,inf
1.5,0.2,6.0,0.0,inf,0.1921454113686276,inf,6.0,False,inf
1.5,0.2,8.0,0.0,inf,0.11283676495784473,2.1100000000000003,8.0,False,inf
1.5,0.2,10.0,0.0,inf,0.06595120370372663,1.5599999999999996,10.0,False,inf
1.5,0.2,12.0,0.0,inf,0.03823095352566122,1.2399999999999998,12.0,False,inf
2.0,0.03,6.0,0.0,inf,0.08754803784217699,1.7800000000000002,6.0,False,inf
